Path,Type,Size
D:\MSP\PP\sem04\task02.py,File,538
D:\MSP\PP\sem04\task03.py,File,736
D:\MSP\PP\sem04\task04.py,File,679
D:\MSP\PP\sem04\task05.py,File,1254
D:\MSP\PP\sem04\task06.py,File,1276
D:\MSP\PP\sem04\task07.py,File,950
D:\MSP\PP\sem04\task08.py,File,1030
D:\MSP\PP\sem05\task01.py,File,1783
D:\MSP\PP\sem05\task02.py,File,470
D:\MSP\PP\sem05\task03.py,File,600
D:\MSP\PP\sem05\task04.py,File,564
D:\MSP\PP\sem05\task05.py,File,945
D:\MSP\PP\sem05\task06.py,File,666
D:\MSP\PP\sem05\task07.py,File,900
D:\MSP\PP\sem06\task01.py,File,801
D:\MSP\PP\sem06\task02.py,File,811
D:\MSP\PP\sem06\task04.py,File,1089
D:\MSP\PP\sem06\task05.py,File,1336
D:\MSP\PP\sem06\test.py,File,14
D:\MSP\PP\sem06\__init__.py,File,0
D:\MSP\PP\sem06\Packege,Directory,6603
D:\MSP\PP\sem06\__pycache__,Directory,0
D:\MSP\PP\sem06\Packege\check_date.py,File,1622
D:\MSP\PP\sem06\Packege\guess_game.py,File,2269
D:\MSP\PP\sem06\Packege\ridles_module.py,File,2193
D:\MSP\PP\sem06\Packege\__init__.py,File,519
D:\MSP\PP\sem07\names.txt,File,74
D:\MSP\PP\sem07\numbers.txt,File,263
D:\MSP\PP\sem07\results.txt,File,523
D:\MSP\PP\sem07\task01.py,File,1000
D:\MSP\PP\sem07\task02.py,File,1117
D:\MSP\PP\sem07\task03.py,File,2303
D:\MSP\PP\sem07\task04.py,File,1716
D:\MSP\PP\sem07\task05.py,File,2651
D:\MSP\PP\sem07\task06.py,File,1686
D:\MSP\PP\sem07\task07.py,File,1336
D:\MSP\PP\sem08\new_users.csv,File,115
D:\MSP\PP\sem08\new_users.json,File,258
D:\MSP\PP\sem08\new_users.pickle,File,124
D:\MSP\PP\sem08\results.json,File,289
D:\MSP\PP\sem08\results.pickle,File,186
D:\MSP\PP\sem08\results.txt,File,523
D:\MSP\PP\sem08\task01.py,File,1021
D:\MSP\PP\sem08\task02.py,File,1774
D:\MSP\PP\sem08\task03.py,File,1020
